# Canonical list of SIMUT log codes — see tools/gen_logcodes.py.
# Columns: code, enum, en, js_pt, pt, es   (tab-separated)
#   en     feeds translateCodeEn( ) AND EVT_NAMES_EN; --check asserts both match it
#   js_pt  EVT_NAMES_PT, historically written without accents
#   pt     @LOGCODES of language_pt-BR.lng, with accents
#   es     @LOGCODES of language_es-ES.lng
# Extracted from the five tables with all of them already in agreement.
#
471	APP_ALARM_CLEARED	Alarm cleared	Alarme zerado	Alarme zerado	Alarma restablecida
472	APP_ALARM_SILENCE_CANCEL	Alarm silence cancelled	Silenciamento cancelado	Silenciamento cancelado	Silencio de alarma cancelado
480	APP_CACHE_MINMAX_FULL	Min/Max cache loaded	Cache Min/Max carregado	Cache Min/Max carregado	Caché Min/Max cargada
481	APP_CACHE_MINMAX_PARTIAL	Min/Max cache partial	Cache Min/Max parcial	Cache Min/Max parcial	Caché Min/Max parcial
482	APP_CACHE_GRAPH_STARTED	Graph cache refresh started	Refresh de cache iniciado	Refresh de cache iniciado	Refresco de caché iniciado
483	APP_CACHE_GRAPH_DONE	Graph cache refresh done	Refresh de cache concluido	Refresh de cache concluído	Refresco de caché completado
484	APP_CACHE_GRAPH_AMBIENT	Graph cache: ambient	Cache de grafico: ambiente	Cache de gráfico: ambiente	Caché de gráfico: ambiente
485	APP_CACHE_GRAPH_BOARD	Graph cache: board temp	Cache de grafico: placa	Cache de gráfico: placa	Caché de gráfico: placa
486	APP_CACHE_PRELOAD_DONE	Graph cache preload done	Pre-carga de cache concluida	Pre-carga de cache concluída	Precarga de caché completada
487	APP_GRAPH_LOADING	Graph loading	Carregando grafico	Carregando gráfico	Cargando gráfico
488	APP_GRAPH_BUDGET	Graph render budget exceeded	Budget de render excedido	Budget de render excedido	Presupuesto de render excedido
489	APP_PRELOAD_BUDGET	Preload budget exceeded	Budget de pre-carga excedido	Budget de pre-carga excedido	Presupuesto de precarga excedido
500	APP_DISPLAY_PAUSE_STUCK	Display pause stuck >5s	Pause do display preso >5s	Pause do display preso >5s	Pausa de la pantalla colgada >5s
501	APP_YIELD_STUCK	Yield stuck >10s	Yield preso >10s	Yield preso >10s	Yield colgado >10s
502	APP_CORE1_DEAD	Core 1 dead >10s, restarting	Core 1 travado >10s, reiniciando	Core 1 travado >10s, reiniciando	Core 1 colgado >10s, reiniciando
503	APP_FLASH_BUSY	Flash busy collision	Colisao de flash ocupada	Colisão de flash ocupada	Colisión por flash ocupada
510	APP_HISTORY_SAVED	History record saved	Registro de historico salvo	Registro de histórico salvo	Registro de historial guardado
511	APP_HEAP_REPORT	Heap status report	Relatorio de heap	Relatório de heap	Informe de heap
512	APP_HIST_NO_TIME_REF	History skip: no time reference	Historico pulado: sem referencia de hora	Histórico pulado: sem referência de hora	Historial omitido: sin referencia de hora
513	APP_HIST_TIME_REF_RECOVERED	History resumed: time reference acquired	Historico retomado: referencia de hora obtida	Histórico retomado: referência de hora obtida	Historial reanudado: referencia de hora obtenida
514	APP_HIST_NO_SCHEMA	History skip: V4 schema is empty	Historico pulado: schema V4 vazio	Histórico pulado: schema V4 vazio	Historial omitido: esquema V4 vacío
515	APP_HIST_SCHEMA_MISMATCH	History skip: schema covers no active sensor	Historico pulado: schema nao cobre sensor ativo	Histórico pulado: schema não cobre sensor ativo	Historial omitido: el esquema no cubre ningún sensor activo
520	NET_DHCP_MODE	DHCP mode enabled	Modo DHCP ativado	Modo DHCP ativado	Modo DHCP activado
521	NET_STATIC_MODE	Static IP mode enabled	Modo IP estatico ativado	Modo IP estático ativado	Modo IP estática activado
522	NET_STARTING	WiFi manager starting	Gerenciador WiFi iniciando	Gerenciador WiFi iniciando	Administrador WiFi iniciando
523	NET_SSID_MISSING	WiFi SSID not configured	SSID WiFi nao configurado	SSID WiFi não configurado	SSID WiFi no configurado
524	NET_PROVISIONAL_TIME	Provisional time set from flash	Hora provisoria do flash	Hora provisória do flash	Hora provisional desde el flash
